"Country","Region","Urban","Origin","Year1","Year2","Age","AgeInt","AgeDef","Vitality","ASFR","ASFR1","ASFR2","ASFR3","ASFR3P","ASFR4","ASFR4P","ASFR5P","CPFR","CPFR1","CPFR2","CPFR3","CPFR3P","CPFR4","CPFR4P","CPFR5P","Collection","SourceType","RefCode","Note","Split"
"    AUT","     .","    .","     .",2020,2020,34,1,"   ACY","       1","0.08620","0.03403","0.03452","0.01253","0.01766","      .","0.00513","      .","1.01711","0.54808","0.34111","0.09737","0.12790","      .","0.03053","      .","      STAT","     vital","    AUT_19","   .",0
"    AUT","     .","    .","     .",2020,2020,35,1,"   ACY","       1","0.07594","0.02848","0.03017","0.01232","0.01730","      .","0.00498","      .","1.10331","0.58211","0.37563","0.10990","0.14556","      .","0.03566","      .","      STAT","     vital","    AUT_19","   .",0
"    AUT","     .","    .","     .",2020,2020,36,1,"   ACY","       1","0.06432","0.02245","0.02543","0.01104","0.01644","      .","0.00540","      .","1.17925","0.61059","0.40580","0.12222","0.16286","      .","0.04064","      .","      STAT","     vital","    AUT_19","   .",0
"    AUT","     .","    .","     .",2020,2020,37,1,"   ACY","       1","0.05448","0.01702","0.02201","0.01037","0.01544","      .","0.00507","      .","1.24357","0.63304","0.43123","0.13326","0.17930","      .","0.04604","      .","      STAT","     vital","    AUT_19","   .",0
"    AUT","     .","    .","     .",2020,2020,38,1,"   ACY","       1","0.04208","0.01347","0.01640","0.00793","0.01221","      .","0.00428","      .","1.29805","0.65006","0.45324","0.14363","0.19474","      .","0.05111","      .","      STAT","     vital","    AUT_19","   .",0
"    AUT","     .","    .","     .",2020,2020,39,1,"   ACY","       1","0.03282","0.01069","0.01229","0.00597","0.00985","      .","0.00388","      .","1.34013","0.66353","0.46964","0.15156","0.20695","      .","0.05539","      .","      STAT","     vital","    AUT_19","   .",0
"    AUT","     .","    .","     .",2020,2020,40,1,"   ACY","       1","0.02465","0.00811","0.00849","0.00457","0.00804","      .","0.00347","      .","1.37295","0.67422","0.48193","0.15753","0.21680","      .","0.05927","      .","      STAT","     vital","    AUT_19","   .",0
"    AUT","     .","    .","     .",2020,2020,41,1,"   ACY","       1","0.01567","0.00461","0.00539","0.00299","0.00566","      .","0.00267","      .","1.39760","0.68233","0.49042","0.16210","0.22484","      .","0.06274","      .","      STAT","     vital","    AUT_19","   .",0
"    AUT","     .","    .","     .",2020,2020,42,1,"   ACY","       1","0.01016","0.00289","0.00336","0.00188","0.00392","      .","0.00204","      .","1.41327","0.68694","0.49581","0.16509","0.23050","      .","0.06541","      .","      STAT","     vital","    AUT_19","   .",0
"    AUT","     .","    .","     .",2020,2020,43,1,"   ACY","       1","0.00553","0.00171","0.00178","0.00113","0.00205","      .","0.00092","      .","1.42343","0.68983","0.49917","0.16697","0.23442","      .","0.06745","      .","      STAT","     vital","    AUT_19","   .",0
"    AUT","     .","    .","     .",2020,2020,44,1,"   ACY","       1","0.00297","0.00090","0.00081","0.00060","0.00127","      .","0.00067","      .","1.42896","0.69154","0.50095","0.16810","0.23647","      .","0.06837","      .","      STAT","     vital","    AUT_19","   .",0
"    AUT","     .","    .","     .",2020,2020,45,1,"   ACY","       1","0.00199","0.00083","0.00051","0.00039","0.00066","      .","0.00027","      .","1.43193","0.69244","0.50176","0.16870","0.23774","      .","0.06904","      .","      STAT","     vital","    AUT_19","   .",0
"    AUT","     .","    .","     .",2020,2020,46,1,"   ACY","       1","0.00080","0.00028","0.00015","0.00012","0.00037","      .","0.00025","      .","1.43392","0.69327","0.50227","0.16909","0.23840","      .","0.06931","      .","      STAT","     vital","    AUT_19","   .",0
"    AUT","     .","    .","     .",2020,2020,47,1,"   ACY","       1","0.00050","0.00024","0.00011","0.00010","0.00015","      .","0.00005","      .","1.43472","0.69355","0.50242","0.16921","0.23877","      .","0.06956","      .","      STAT","     vital","    AUT_19","   .",0
"    AUT","     .","    .","     .",2020,2020,48,1,"   ACY","       1","0.00033","0.00019","0.00008","0.00005","0.00007","      .","0.00002","      .","1.43522","0.69379","0.50253","0.16931","0.23892","      .","0.06961","      .","      STAT","     vital","    AUT_19","   .",0
"    AUT","     .","    .","     .",2020,2020,49,1,"   ACY","       1","0.00030","0.00013","0.00008","0.00006","0.00009","      .","0.00003","      .","1.43555","0.69398","0.50261","0.16936","0.23899","      .","0.06963","      .","      STAT","     vital","    AUT_19","   .",2
"    AUT","     .","    .","     .",2020,2020,50,99,"   ACY","       1","0.00025","0.00008","0.00006","0.00006","0.00010","      .","0.00004","      .","1.43585","0.69411","0.50269","0.16942","0.23908","      .","0.06966","      .","      STAT","     vital","    AUT_19","   .",2
"    BGR","     .","    .","     .",2020,2020,14,-99,"   ACY","       1","0.00672","0.00663","0.00009","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","       HFD","     vital","    BGR_03","   .",0
